dept,course,term,section,rec_course,rec_inst,eval_rate,enroll,evals,expected_grade,received_grade,study_wk,difficulty,amount_learned,attendance,start,duration
CGS,150,WI17,A,0.33,0.67,0.3333333333333333,9,3,3.67,,2.5,3.0,3.33,3.0,14.0,1.3333333333333333
CGS,165,WI17,A,1.0,1.0,0.7142857142857143,7,5,4.0,,4.0,3.5,5.0,3.0,12.0,0.8333333333333334
CGS,87,WI17,A,0.71,0.71,0.6363636363636364,11,7,,0.0,0.5,2.0,3.29,3.0,10.0,2.0
CGS,100,FA16,A,0.89,0.56,0.475,40,19,3.75,3.62,3.61,3.06,3.5,3.0,12.5,1.3333333333333333
CGS,102,FA16,A,0.89,1.0,0.75,12,9,3.75,3.85,6.72,4.67,4.86,3.0,14.0,3.0
CGS,102,FA16,B,1.0,1.0,0.875,8,7,3.57,,3.64,4.17,4.83,3.0,9.5,1.3333333333333333
CGS,180,FA16,A,1.0,1.0,0.6666666666666666,12,8,3.5,3.57,5.75,3.14,4.5,3.0,15.5,1.3333333333333333
CGS,87,FA16,A,1.0,1.0,0.6470588235294118,17,11,4.0,,1.7,2.75,4.7,3.0,17.0,0.8333333333333334
CGS,105,SP16,A,0.67,0.83,0.1935483870967742,31,6,2.67,3.54,6.5,3.8,3.5,3.0,9.5,1.3333333333333333
CGS,106,SP16,A,0.96,0.96,0.8787878787878788,33,29,3.35,3.41,4.87,3.54,4.67,2.86,12.5,1.3333333333333333
CGS,112,SP16,A,0.82,1.0,0.5714285714285714,21,12,3.67,3.45,4.32,3.0,4.36,3.0,17.0,2.8333333333333335
CGS,113,SP16,A,0.88,0.88,0.6666666666666666,12,8,3.75,3.75,4.5,2.88,4.25,3.0,11.0,1.3333333333333333
CGS,87,SP16,A,1.0,1.0,0.7,10,7,,0.0,1.17,2.8,4.5,3.0,11.0,2.0
CGS,87,SP16,B,1.0,1.0,0.4444444444444444,9,4,4.0,,1.5,5.0,4.25,3.0,15.5,1.0
CGS,101,WI16,A,0.81,0.88,0.5869565217391305,46,27,3.63,3.83,5.42,3.73,4.12,3.0,11.0,1.3333333333333333
CGS,102,WI16,A,1.0,1.0,0.4166666666666667,12,5,3.8,3.8,5.7,2.2,5.0,3.0,13.0,0.8333333333333334
CGS,107,WI16,A,1.0,0.92,0.5,28,14,3.7,3.63,4.0,2.83,4.64,3.0,15.5,1.3333333333333333
CGS,114,WI16,A,0.78,0.67,0.42857142857142855,21,9,3.22,3.44,2.94,2.33,3.44,3.0,17.0,1.3333333333333333
CGS,150,WI16,A,1.0,1.0,0.4666666666666667,15,7,3.6,3.42,4.9,4.2,4.8,3.0,14.0,1.3333333333333333
CGS,100,FA15,A,0.54,0.54,0.5,32,16,3.45,3.08,5.58,3.54,3.31,2.92,14.0,1.3333333333333333
CGS,102,FA15,A,0.89,1.0,0.6666666666666666,15,10,3.89,3.95,2.72,2.89,3.89,3.0,10.0,2.8333333333333335
CGS,102,FA15,B,1.0,1.0,1.0,6,6,3.67,,6.5,3.33,4.83,3.0,11.0,1.3333333333333333
CGS,103,FA15,A,0.88,0.88,0.7391304347826086,23,17,3.14,3.18,5.91,3.82,4.19,3.0,12.5,1.3333333333333333
CGS,115,FA15,A,1.0,1.0,0.3888888888888889,18,7,3.86,3.84,6.79,3.14,4.86,3.0,12.5,1.3333333333333333
CGS,190,FA15,A,1.0,1.0,0.75,4,3,4.0,,5.83,4.0,4.67,3.0,12.0,2.8333333333333335
CGS,2A,FA15,A,0.85,0.95,0.8840579710144928,69,61,3.25,3.44,3.95,3.43,4.12,2.91,11.0,1.3333333333333333
CGS,87,FA15,A,1.0,1.0,0.5,16,8,4.0,0.0,1.0,2.0,4.5,3.0,11.0,1.8333333333333333
CGS,100,SP15,A,0.94,1.0,0.4722222222222222,36,17,3.75,3.59,4.62,3.71,4.53,3.0,11.0,1.3333333333333333
CGS,104,SP15,A,1.0,1.0,0.23076923076923078,13,3,4.0,3.88,4.5,3.5,4.5,3.0,14.0,1.3333333333333333
CGS,116,SP15,A,1.0,1.0,0.4,30,12,3.83,3.87,4.32,3.58,4.73,3.0,10.0,3.0
CGS,165,SP15,A,1.0,1.0,0.5714285714285714,14,8,3.25,3.43,4.83,4.0,4.33,3.0,15.5,1.3333333333333333
CGS,101,WI15,A,0.85,1.0,0.4827586206896552,58,28,3.65,3.48,4.27,3.93,4.13,3.0,11.0,1.3333333333333333
CGS,112,WI15,A,0.82,0.86,1.0,22,22,3.56,3.35,5.05,3.18,3.9,2.95,14.0,1.3333333333333333
CGS,2B,WI15,A,1.0,1.0,0.5961538461538461,52,31,3.77,3.73,4.5,3.2,4.83,2.97,12.5,1.3333333333333333
CENG,101B,SP22,B,1.0,1.0,0.47619047619047616,21,10,3.6,3.32,9.5,4.1,4.6,2.4,9.0,0.8333333333333334
CENG,101C,SP22,A,0.9,1.0,0.8723404255319149,94,82,3.0,3.01,9.9,4.52,4.42,2.63,14.0,0.8333333333333334
CENG,113,SP22,C,0.9,0.9,0.4782608695652174,46,22,3.0,2.85,9.55,4.6,4.29,2.71,9.0,0.8333333333333334
CENG,113,SP22,D,0.91,0.94,0.4714285714285714,70,33,3.42,3.08,11.23,4.34,4.7,2.76,10.0,0.8333333333333334
CENG,124B,SP22,A,0.97,0.98,0.8266666666666667,75,62,3.54,3.89,7.03,3.4,4.18,1.77,13.0,0.8333333333333334
CENG,124B,SP22,B,1.0,1.0,0.8225806451612904,62,51,3.7,3.94,6.26,3.27,4.44,2.06,14.0,0.8333333333333334
CENG,175,SP22,A,0.93,1.0,0.625,24,15,3.2,3.33,5.57,3.4,4.6,2.87,14.0,0.8333333333333334
CENG,176B,SP22,A,0.96,0.96,0.6578947368421053,76,50,3.47,3.43,8.36,,,,12.5,1.3333333333333333
CENG,176B,SP22,B,0.97,1.0,0.6724137931034483,58,39,3.58,3.51,8.9,,,,14.0,1.3333333333333333
CENG,101A,WI22,A,0.95,0.95,0.8461538461538461,26,22,3.0,2.98,11.59,4.48,4.32,2.59,15.0,0.8333333333333334
CENG,101B,WI22,A,0.91,0.97,0.8928571428571429,84,75,3.01,3.06,8.5,4.22,4.34,2.58,9.5,1.3333333333333333
CENG,102,WI22,A,0.96,1.0,0.7647058823529411,68,52,3.48,2.95,7.69,4.04,4.48,2.67,9.0,0.8333333333333334
CENG,102,WI22,B,0.97,0.88,0.8048780487804879,41,33,3.47,2.94,7.65,4.03,4.0,2.3,13.0,0.8333333333333334
CENG,114,WI22,A,0.86,0.94,0.8924731182795699,93,83,3.09,3.13,6.79,3.31,4.17,2.41,15.5,1.3333333333333333
CENG,124A,WI22,A,0.95,0.98,0.7837837837837838,74,58,3.55,3.79,7.2,3.78,4.19,2.26,13.0,0.8333333333333334
CENG,124A,WI22,B,0.92,0.98,0.8412698412698413,63,53,3.57,3.87,5.75,3.45,4.2,2.18,14.0,0.8333333333333334
CENG,134,WI22,A,0.92,0.92,0.6666666666666666,78,52,3.04,3.02,5.85,3.92,4.25,2.46,15.0,0.8333333333333334
CENG,15,WI22,A,1.0,1.0,0.5384615384615384,13,7,4.0,,4.17,3.17,5.0,2.5,12.0,0.8333333333333334
CENG,15,WI22,B,1.0,1.0,0.8181818181818182,11,9,3.44,,5.61,3.0,4.78,2.67,15.0,0.8333333333333334
CENG,176A,WI22,A,0.97,0.89,0.6724137931034483,58,39,3.34,3.5,9.55,,,,14.0,1.3333333333333333
CENG,176A,WI22,B,0.91,0.92,0.6973684210526315,76,53,3.6,3.51,9.19,,,,12.5,1.3333333333333333
CENG,100,FA21,A,0.97,0.99,0.8482142857142857,112,95,3.22,2.94,6.71,3.64,4.48,2.79,12.0,0.8333333333333334
CENG,101A,FA21,A,0.75,0.78,0.8455882352941176,136,115,3.07,3.12,10.22,4.55,4.11,2.53,9.5,1.3333333333333333
CENG,120,FA21,A,0.98,0.99,0.8823529411764706,136,120,3.31,3.31,8.78,4.08,4.46,2.77,15.5,1.3333333333333333
CENG,122,FA21,A,0.96,0.94,0.8848920863309353,139,123,3.28,3.37,8.84,4.17,4.38,2.64,10.0,0.8333333333333334
CENG,15,FA21,A,0.38,0.48,0.5185185185185185,54,28,2.85,3.2,4.73,4.0,3.23,2.38,13.0,0.8333333333333334
CENG,15,FA21,B,0.62,0.62,0.4482758620689655,58,26,3.24,3.26,5.06,3.68,3.68,2.24,12.5,1.3333333333333333
CENG,157,FA21,A,0.95,0.98,0.7592592592592593,54,41,3.26,3.19,6.26,3.8,4.27,2.71,13.0,0.8333333333333334
CENG,4,FA21,A,1.0,1.0,0.45,140,63,3.94,0.0,0.75,,,,18.0,0.8333333333333334
CENG,101B,SP21,A,0.92,0.96,0.6410256410256411,39,25,3.27,3.11,7.28,4.18,4.3,2.38,11.0,1.3333333333333333
CENG,101C,SP21,A,0.93,0.96,0.9358974358974359,78,73,3.21,3.07,8.91,4.37,4.37,2.68,14.0,0.8333333333333334
CENG,101C,SP21,B,0.92,0.98,0.927536231884058,69,64,3.14,3.13,7.87,4.39,4.41,2.5,10.0,0.8333333333333334
CENG,113,SP21,A,0.91,0.99,0.8734177215189873,79,69,3.19,3.39,9.28,4.22,4.28,2.65,15.0,0.8333333333333334
CENG,113,SP21,B,1.0,1.0,1.0,23,23,3.14,3.29,9.77,4.27,4.73,2.86,9.0,0.8333333333333334
CENG,124B,SP21,B,0.97,0.94,0.5849056603773585,53,31,3.71,3.9,7.47,3.55,4.32,2.32,13.0,0.8333333333333334
CENG,176B,SP21,A,0.92,0.92,0.6349206349206349,63,40,3.56,3.33,9.58,,,,12.5,1.3333333333333333
CENG,176B,SP21,B,0.84,0.89,0.48717948717948717,39,19,3.26,3.31,10.61,,,,14.0,1.3333333333333333
CENG,101A,WI21,A,0.97,1.0,0.9285714285714286,42,39,3.06,3.37,8.91,4.49,4.69,2.85,13.0,0.8333333333333334
CENG,101B,WI21,A,0.88,0.62,0.9230769230769231,26,24,2.87,2.83,7.92,4.5,4.21,2.96,9.5,1.3333333333333333
CENG,101B,WI21,B,0.81,0.64,0.8888888888888888,90,80,3.12,3.05,8.95,4.66,4.2,2.74,12.5,1.3333333333333333
CENG,102,WI21,A,0.87,0.89,0.8852459016393442,61,54,3.12,3.02,9.5,4.37,4.33,2.74,15.0,0.8333333333333334
CENG,102,WI21,B,0.84,0.82,0.926829268292683,41,38,2.97,2.91,7.13,4.43,3.89,2.58,10.0,0.8333333333333334
CENG,114,WI21,A,0.99,1.0,0.9484536082474226,97,92,3.7,3.89,5.49,3.12,4.53,2.78,11.0,0.8333333333333334
CENG,114,WI21,B,1.0,1.0,0.8780487804878049,41,36,3.47,3.51,6.83,3.42,4.44,2.56,14.0,1.3333333333333333
CENG,124A,WI21,A,0.93,1.0,0.8148148148148148,54,44,3.64,3.77,7.77,3.82,4.09,2.42,13.0,0.8333333333333334
CENG,124A,WI21,B,0.92,0.92,0.7755102040816326,49,38,3.57,3.66,8.92,3.31,4.21,2.58,15.0,0.8333333333333334
CENG,134,WI21,A,0.9,1.0,0.6176470588235294,34,21,3.3,3.53,5.93,3.33,4.38,2.81,14.0,0.8333333333333334
CENG,15,WI21,A,0.94,0.88,0.9444444444444444,18,17,3.53,2.98,6.38,2.88,4.35,2.65,13.0,0.8333333333333334
CENG,15,WI21,B,1.0,1.0,0.625,8,5,3.4,2.98,6.1,3.2,4.2,2.8,16.0,0.8333333333333334
CENG,15R,WI21,A,0.83,1.0,1.0,6,6,3.2,,7.5,3.17,4.5,2.33,,
CENG,175,WI21,A,1.0,0.94,0.6538461538461539,26,17,3.75,3.7,3.68,3.31,4.53,2.5,9.0,0.8333333333333334
CENG,176A,WI21,A,0.93,0.95,0.746031746031746,63,47,3.57,3.84,10.0,,,,12.5,1.3333333333333333
CENG,176A,WI21,B,0.86,0.82,0.5897435897435898,39,23,3.55,3.67,11.77,,,,14.0,1.3333333333333333
CENG,100,FA20,C,0.84,0.68,0.7222222222222222,36,26,3.16,3.11,7.7,3.8,3.88,2.6,10.0,0.8333333333333334
CENG,100,FA20,D,0.88,0.72,0.7368421052631579,57,42,3.05,3.26,7.95,4.13,4.1,2.7,9.0,0.8333333333333334
CENG,101A,FA20,C,0.83,0.74,0.8144329896907216,97,79,3.13,3.05,11.24,4.69,4.24,2.76,8.0,1.3333333333333333
CENG,101A,FA20,D,0.76,0.85,0.898876404494382,89,80,3.33,3.13,10.8,4.7,4.15,2.69,9.5,1.3333333333333333
CENG,120,FA20,C,0.92,0.96,0.98989898989899,99,98,3.36,3.56,10.62,4.26,4.41,2.56,14.0,0.8333333333333334
CENG,122,FA20,C,1.0,1.0,0.8157894736842105,38,31,3.33,3.44,9.5,3.8,4.33,2.52,9.0,0.8333333333333334
CENG,122,FA20,D,0.96,1.0,0.7846153846153846,65,51,3.59,3.54,9.32,3.98,4.63,2.49,13.0,0.8333333333333334
CENG,15,FA20,A,0.93,0.95,0.5897435897435898,78,46,3.51,3.41,4.9,3.44,4.27,2.51,13.0,0.8333333333333334
CENG,15,FA20,B,0.91,0.82,0.5897435897435898,39,23,3.77,3.59,4.5,2.86,4.32,2.32,11.0,0.8333333333333334
CENG,4,FA20,A,0.99,1.0,0.6083333333333333,120,73,4.0,0.0,1.5,,,,18.0,0.8333333333333334
CENG,4,FA20,B,1.0,1.0,0.4444444444444444,9,4,4.0,,0.5,1.67,4.0,2.5,18.0,0.8333333333333334
CENG,101C,SP20,A,0.96,1.0,0.8426966292134831,89,75,3.61,3.69,8.79,4.16,4.35,2.81,15.5,1.3333333333333333
CENG,101C,SP20,B,1.0,0.92,0.9285714285714286,14,13,3.38,3.67,10.81,4.38,4.15,2.92,17.0,1.3333333333333333
CENG,113,SP20,A,0.81,0.74,0.6458333333333334,48,31,3.32,3.23,8.31,4.35,3.94,2.65,15.0,0.8333333333333334
CENG,113,SP20,B,0.97,1.0,0.6633663366336634,101,67,3.51,3.62,9.29,4.18,4.65,2.77,15.0,0.8333333333333334
CENG,124B,SP20,A,0.92,0.95,0.5728155339805825,103,59,3.67,3.8,6.19,3.31,3.98,2.4,13.0,0.8333333333333334
CENG,124B,SP20,A,0.92,0.98,0.5728155339805825,103,59,3.67,3.8,6.19,3.31,3.98,2.4,13.0,0.8333333333333334
CENG,134,SP20,A,0.96,0.88,1.0,24,24,3.48,3.75,6.0,2.92,4.04,2.67,14.0,0.8333333333333334
CENG,176B,SP20,A,0.9,0.97,0.5,60,30,3.29,3.48,8.98,,,,12.5,1.3333333333333333
CENG,176B,SP20,B,0.94,0.94,0.37209302325581395,43,16,3.46,3.44,6.13,,,,14.0,1.3333333333333333
CENG,101B,WI20,A,0.91,0.89,0.7580645161290323,62,47,2.98,3.03,8.94,4.36,4.09,2.71,9.5,1.3333333333333333
CENG,101B,WI20,B,0.94,1.0,0.6956521739130435,46,32,3.5,3.75,6.44,3.65,4.45,2.87,14.0,1.3333333333333333
CENG,102,WI20,A,0.96,0.87,0.9375,48,45,3.27,3.26,7.82,4.16,4.31,2.98,10.0,0.8333333333333334
CENG,102,WI20,B,0.92,0.97,0.98,100,98,3.15,3.32,8.66,4.2,4.32,2.98,15.0,0.8333333333333334
CENG,114,WI20,A,0.85,0.96,0.9489795918367347,98,93,3.26,3.37,6.93,3.32,4.0,2.9,15.5,1.3333333333333333
CENG,124A,WI20,A,0.88,0.94,0.47619047619047616,105,50,3.46,3.77,7.1,3.27,3.69,2.7,13.0,0.8333333333333334
CENG,124A,WI20,A,0.88,0.96,0.4666666666666667,105,49,3.45,3.77,7.15,3.23,3.67,2.69,13.0,0.8333333333333334
CENG,134,WI20,A,0.91,1.0,0.5454545454545454,22,12,3.42,3.38,4.83,3.27,4.25,2.92,13.0,0.8333333333333334
CENG,15,WI20,A,0.87,0.93,0.6,25,15,3.67,3.75,4.23,3.2,4.2,2.2,10.0,0.8333333333333334
CENG,176A,WI20,A,0.91,0.95,0.36666666666666664,60,22,3.55,3.77,9.41,,,,12.5,1.3333333333333333
CENG,176A,WI20,B,0.93,1.0,0.40476190476190477,42,17,3.8,3.65,8.9,,,,14.0,1.3333333333333333
CENG,100,FA19,A,0.98,0.89,0.8382352941176471,68,57,3.21,2.99,7.03,3.61,4.3,2.93,11.0,0.8333333333333334
CENG,100,FA19,B,1.0,0.97,0.6041666666666666,48,29,3.41,3.2,6.36,3.76,4.72,3.0,11.0,1.3333333333333333
CENG,100,FA19,C,0.86,1.0,0.7,30,21,3.14,2.9,6.79,4.24,4.71,3.0,11.0,0.8333333333333334
CENG,101A,FA19,A,0.75,0.69,0.6040268456375839,149,90,3.25,2.93,12.22,4.77,4.23,2.36,9.5,1.3333333333333333
CENG,101A,FA19,B,0.76,0.91,0.8947368421052632,38,34,3.09,3.02,11.26,4.76,4.21,2.82,8.0,1.3333333333333333
CENG,120,FA19,A,0.92,0.98,0.9420289855072463,69,65,3.13,3.07,8.65,3.98,4.29,2.89,13.0,0.8333333333333334
CENG,120,FA19,B,0.74,0.73,0.9444444444444444,36,34,3.12,3.16,7.32,3.94,3.85,2.73,12.5,1.3333333333333333
CENG,122,FA19,A,0.95,0.98,0.9545454545454546,66,63,3.25,3.09,8.12,4.05,4.48,2.92,15.5,1.3333333333333333
CENG,122,FA19,B,0.93,1.0,0.7631578947368421,38,29,3.17,3.06,9.81,4.11,4.69,2.9,9.0,0.8333333333333334
CENG,15,FA19,A,0.97,0.9,0.8888888888888888,36,32,3.41,2.84,4.38,2.74,4.03,2.88,9.0,0.8333333333333334
CENG,15,FA19,B,0.83,0.83,0.8833333333333333,60,53,3.55,3.05,4.95,3.27,4.15,2.96,13.0,0.8333333333333334
CENG,15R,FA19,A,0.9,1.0,0.9090909090909091,11,10,3.5,,6.7,3.1,4.0,2.6,,
CENG,4,FA19,A,0.96,1.0,0.6024096385542169,83,50,4.0,,0.83,,,,18.0,0.8333333333333334
CENG,4,FA19,B,0.92,0.96,0.5192307692307693,52,27,4.0,,0.65,1.52,4.19,3.0,18.0,0.8333333333333334
CENG,101C,SP19,A,0.92,0.98,0.975609756097561,82,80,3.04,3.05,7.95,4.24,4.18,2.89,15.5,1.3333333333333333
CENG,101C,SP19,B,0.74,0.47,0.7407407407407407,27,20,2.89,3.23,9.76,4.53,3.21,2.68,17.0,1.3333333333333333
CENG,113,SP19,A,0.91,0.99,0.7906976744186046,86,68,3.13,2.92,10.82,4.53,4.54,2.85,9.5,1.3333333333333333
CENG,113,SP19,B,0.89,0.89,0.8636363636363636,22,19,3.26,3.14,7.66,4.26,4.42,2.95,15.0,0.8333333333333334
CENG,124B,SP19,A,0.81,1.0,0.5858585858585859,99,58,3.77,3.76,5.08,2.76,3.57,2.67,13.0,0.8333333333333334
CENG,124B,SP19,A,0.81,0.72,0.5858585858585859,99,58,3.77,3.76,5.08,2.76,3.57,2.67,13.0,0.8333333333333334
CENG,134,SP19,A,1.0,0.9,0.4791666666666667,48,23,3.45,3.23,4.88,3.33,4.14,2.52,10.0,0.8333333333333334
CENG,157,SP19,A,1.0,1.0,0.5952380952380952,42,25,3.48,3.34,5.83,3.33,4.58,2.91,11.0,1.3333333333333333
CENG,176B,SP19,A,0.96,0.96,0.45098039215686275,51,23,3.74,3.45,5.2,,,,12.5,1.3333333333333333
CENG,176B,SP19,B,0.9,0.85,0.4166666666666667,48,20,3.75,3.57,7.1,,,,14.0,1.3333333333333333
CENG,101B,WI19,A,0.85,0.94,0.5833333333333334,60,35,3.17,3.03,8.1,4.03,4.37,2.8,15.0,0.8333333333333334
CENG,101B,WI19,B,0.94,1.0,0.6326530612244898,49,31,3.26,3.05,5.98,4.19,4.23,2.81,14.0,1.3333333333333333
CENG,102,WI19,A,0.93,0.98,0.8939393939393939,66,59,3.23,3.05,9.08,4.05,4.33,2.93,11.0,0.8333333333333334
CENG,102,WI19,B,0.85,0.95,0.8723404255319149,47,41,3.03,3.06,9.75,4.54,4.43,2.95,13.0,0.8333333333333334
CENG,114,WI19,A,0.8,0.9,0.8913043478260869,92,82,3.05,2.9,6.91,3.68,3.77,2.15,9.5,1.3333333333333333
CENG,124A,WI19,A,0.75,0.96,0.7244897959183674,98,71,3.48,3.52,6.33,3.26,3.24,2.62,8.0,1.3333333333333333
CENG,124A,WI19,A,0.75,0.67,0.7244897959183674,98,71,3.48,3.52,6.33,3.26,3.24,2.62,8.0,1.3333333333333333
CENG,15,WI19,A,0.83,0.83,0.42424242424242425,33,14,3.42,3.33,5.5,3.33,3.92,2.5,14.0,0.8333333333333334
CENG,176A,WI19,A,0.95,0.95,0.42,50,21,3.4,3.45,8.1,,,,12.5,1.3333333333333333
CENG,100,FA18,A,0.91,0.72,0.57,100,57,3.22,2.9,6.06,3.43,4.11,2.94,12.5,1.3333333333333333
CENG,100,FA18,B,0.96,1.0,0.574468085106383,47,27,3.58,2.96,4.88,3.04,4.31,3.0,12.0,0.8333333333333334
CENG,101A,FA18,A,0.76,0.59,0.5144508670520231,173,89,3.06,3.0,11.8,4.8,4.16,2.63,9.5,1.3333333333333333
CENG,120,FA18,B,0.84,0.56,0.8775510204081632,98,86,3.28,3.21,8.1,3.93,3.68,2.76,9.0,0.8333333333333334
CENG,122,FA18,A,1.0,1.0,0.8235294117647058,51,42,3.71,3.44,6.7,3.46,4.63,2.88,9.5,1.3333333333333333
CENG,122,FA18,B,0.84,0.66,0.7391304347826086,46,34,3.29,3.21,6.95,3.75,3.59,2.75,15.5,1.3333333333333333
CENG,15,FA18,A,0.87,0.8,0.4838709677419355,62,30,3.53,3.32,4.37,2.9,3.53,2.43,13.0,0.8333333333333334
CENG,15,FA18,B,0.85,0.73,0.46551724137931033,58,27,3.59,3.32,5.09,3.04,4.19,2.44,14.0,1.3333333333333333
CENG,15,FA18,C,0.82,1.0,0.5,24,12,2.92,2.92,9.77,3.91,4.64,2.73,11.0,1.3333333333333333
CENG,4,FA18,A,0.99,1.0,0.5113636363636364,176,90,3.91,,1.07,,,,18.0,0.8333333333333334
CENG,101C,SP18,A,0.9,0.93,0.9603960396039604,101,97,3.24,3.17,8.33,4.35,4.13,2.86,13.0,0.8333333333333334
CENG,113,SP18,A,0.91,1.0,0.5764705882352941,85,49,3.23,3.07,9.05,4.04,4.33,2.83,15.0,0.8333333333333334
CENG,113,SP18,C,0.95,0.9,0.9523809523809523,42,40,3.3,3.69,8.65,3.98,4.2,2.69,15.0,0.8333333333333334
CENG,124B,SP18,A,0.62,0.95,0.803921568627451,102,82,3.72,3.73,4.82,2.64,3.16,2.73,14.0,0.8333333333333334
CENG,124B,SP18,A,0.62,0.62,0.8137254901960784,102,83,3.72,3.73,4.81,2.63,3.16,2.73,14.0,0.8333333333333334
CENG,134,SP18,A,0.82,1.0,0.4857142857142857,35,17,3.31,2.8,5.09,3.38,4.29,2.88,10.0,0.8333333333333334
CENG,157,SP18,A,0.98,1.0,0.7241379310344828,58,42,3.37,3.29,5.83,3.59,4.07,2.9,12.5,1.3333333333333333
CENG,176B,SP18,A,0.97,0.97,0.5272727272727272,55,29,3.75,3.58,7.4,,,,12.5,1.3333333333333333
CENG,176B,SP18,B,1.0,0.96,0.5102040816326531,49,25,3.84,3.76,8.26,,,,14.0,1.3333333333333333
CENG,101B,WI18,A,0.9,0.85,0.6956521739130435,69,48,3.19,2.95,8.83,4.15,3.98,2.92,15.0,0.8333333333333334
CENG,101B,WI18,B,0.89,1.0,0.6585365853658537,41,27,3.63,3.7,6.65,3.54,3.93,2.89,14.0,1.3333333333333333
CENG,102,WI18,A,0.95,0.95,0.9775280898876404,89,87,3.13,3.08,9.01,4.08,4.28,2.91,11.0,0.8333333333333334
CENG,102,WI18,B,0.8,0.63,0.967741935483871,31,30,3.03,3.76,10.3,4.53,4.03,2.8,11.0,0.8333333333333334
CENG,114,WI18,A,0.83,0.81,0.9272727272727272,110,102,3.19,2.95,6.97,3.81,3.72,2.46,9.5,1.3333333333333333
CENG,124A,WI18,A,0.58,0.49,0.6981132075471698,106,74,3.48,3.61,5.74,2.99,3.07,2.91,14.0,0.8333333333333334
CENG,15,WI18,A,0.94,0.88,0.8095238095238095,21,17,3.59,3.08,4.15,2.53,3.71,2.94,11.0,1.3333333333333333
CENG,15,WI18,B,1.0,1.0,0.7272727272727273,11,8,3.71,,6.0,2.75,3.88,2.63,11.0,1.3333333333333333
CENG,176A,WI18,A,0.92,0.92,0.44642857142857145,56,25,3.63,3.58,9.38,,,,12.5,1.3333333333333333
CENG,176A,WI18,B,0.86,1.0,0.46,50,23,3.52,3.61,10.12,,,,14.0,1.3333333333333333
CENG,100,FA17,A,0.9,0.85,0.8363636363636363,110,92,3.69,3.68,4.54,2.86,3.84,2.93,16.0,0.8333333333333334
CENG,100,FA17,B,0.92,0.73,0.8837209302325582,43,38,3.61,3.65,5.39,2.58,3.71,2.87,14.0,0.8333333333333334
CENG,100,FA17,C,0.95,0.95,0.8461538461538461,26,22,3.64,3.57,7.32,3.27,4.27,2.91,17.0,1.8333333333333333
CENG,101A,FA17,A,0.78,0.69,0.49696969696969695,165,82,3.27,3.03,13.23,4.77,4.2,2.69,9.5,1.3333333333333333
CENG,120,FA17,A,0.96,0.96,0.9711538461538461,104,101,3.28,3.15,9.04,3.9,4.29,2.9,11.0,0.8333333333333334
CENG,122,FA17,A,0.94,0.97,0.9722222222222222,108,105,3.19,3.19,9.71,4.25,4.48,2.91,13.0,0.8333333333333334
CENG,15,FA17,A,0.85,0.75,0.6101694915254238,59,36,3.45,3.85,5.5,3.24,3.88,2.26,11.0,1.3333333333333333
CENG,15,FA17,B,0.87,0.82,0.6037735849056604,53,32,3.68,3.85,6.11,3.3,3.9,2.29,14.0,1.3333333333333333
CENG,101C,SP17,B,0.97,0.86,0.37142857142857144,105,39,3.32,3.09,7.17,3.78,4.06,2.89,13.0,0.8333333333333334
CENG,113,SP17,B,0.95,0.97,0.3877551020408163,98,38,3.41,2.86,8.88,4.22,4.37,2.84,12.0,0.8333333333333334
CENG,124B,SP17,A,0.42,0.73,0.6455696202531646,237,153,3.58,3.59,4.35,2.59,2.56,2.19,8.0,0.8333333333333334
CENG,124B,SP17,A,0.42,0.45,0.6413502109704642,237,152,3.58,3.59,4.37,2.59,2.6,2.21,8.0,0.8333333333333334
CENG,134,SP17,A,0.83,0.93,0.36585365853658536,82,30,3.17,3.02,6.1,4.38,4.24,2.57,10.0,0.8333333333333334
CENG,157,SP17,A,0.89,0.96,0.4117647058823529,68,28,3.32,3.39,5.09,3.46,4.44,2.81,15.0,0.8333333333333334
CENG,176B,SP17,A,0.95,0.93,0.34328358208955223,134,46,3.54,3.72,7.85,,,,8.0,1.3333333333333333
CENG,176B,SP17,A,0.95,0.98,0.34328358208955223,134,46,3.54,3.72,7.85,,,,8.0,1.3333333333333333
CENG,176B,SP17,A,0.95,0.91,0.34328358208955223,134,46,3.54,3.72,7.85,,,,8.0,1.3333333333333333
CENG,176B,SP17,A,0.95,1.0,0.34328358208955223,134,46,3.54,3.72,7.85,,,,8.0,1.3333333333333333
CENG,176B,SP17,A,0.95,0.95,0.34328358208955223,134,46,3.54,3.72,7.85,,,,8.0,1.3333333333333333
CENG,176B,SP17,B,0.96,1.0,0.31683168316831684,101,32,3.76,3.72,8.5,,,,17.0,1.3333333333333333
CENG,176B,SP17,B,0.96,0.96,0.3137254901960784,102,32,3.76,3.72,8.5,,,,17.0,1.3333333333333333
CENG,176B,SP17,B,0.96,1.0,0.31683168316831684,101,32,3.76,3.72,8.5,,,,17.0,1.3333333333333333
CENG,176B,SP17,B,0.96,1.0,0.31683168316831684,101,32,3.76,3.72,8.5,,,,17.0,1.3333333333333333
CENG,176B,SP17,B,0.96,0.92,0.31683168316831684,101,32,3.76,3.72,8.5,,,,17.0,1.3333333333333333
CENG,176B,SP17,B,0.96,1.0,0.31683168316831684,101,32,3.76,3.72,8.5,,,,17.0,1.3333333333333333
